index,whisky,score,reviews,cost,class,cluster,country,type
623,Kavalan King Car Conductor,8.43,9,4,SingleMalt-like,G,Taiwan,Malt
624,Talisker Skye,8.43,12,2,SingleMalt-like,G,Scotland,Malt
625,Craigellachie 13yo,8.41,16,3,SingleMalt-like,G,Scotland,Malt
626,Glenkinchie Distiller's Edition (all editions),8.41,13,4,SingleMalt-like,B,Scotland,Malt
627,Hakushu Distiller's Reserve,8.41,4,4,SingleMalt-like,H,Japan,Malt
628,Wemyss Malts The Hive,8.41,14,3,SingleMalt-like,G,Scotland,Malt
629,Kavalan Single Malt Whisky,8.4,18,4,SingleMalt-like,G,Taiwan,Malt
630,Balblair 2000,8.39,9,4,SingleMalt-like,H,Scotland,Malt
631,Glen Garioch Founder's Reserve,8.39,17,3,SingleMalt-like,G,Scotland,Malt
632,Glenrothes Alba Reserve,8.38,8,3,SingleMalt-like,G,Scotland,Malt
633,Hazelburn 8yo (Springbank),8.37,11,4,SingleMalt-like,G,Scotland,Malt
634,Strathmill 12yo,8.37,3,4,SingleMalt-like,G,Scotland,Malt
635,Hibiki Harmony,8.36,18,4,SingleMalt-like,G,Japan,Blend
636,Glen Grant 10yo (G&M),8.35,3,3,SingleMalt-like,H,Scotland,Malt
637,Tomatin Cask Strength,8.35,10,4,SingleMalt-like,G,Scotland,Malt
638,Hakushu NAS,8.34,5,3,SingleMalt-like,H,Japan,Malt
639,Glen Grant 12yo,8.33,8,3,SingleMalt-like,H,Scotland,Malt
640,Mackmyra Special 02,8.33,3,5,SingleMalt-like,H,Sweden,Malt
641,Mackmyra Svensk Ek,8.33,3,4,SingleMalt-like,H,Sweden,Malt
642,BenRiach 20yo,8.32,11,5,SingleMalt-like,G,Scotland,Malt
643,Wolfburn (NAS),8.31,10,3,SingleMalt-like,G,Scotland,Malt
644,Auchentoshan Valinch,8.3,14,3,SingleMalt-like,H,Scotland,Malt
645,Tamdhu 10yo,8.3,18,4,SingleMalt-like,H,Scotland,Malt
646,Tomintoul 16yo,8.3,17,3,SingleMalt-like,G,Scotland,Malt
647,Glenfiddich 1963 Original Malt,8.29,7,4,SingleMalt-like,G,Scotland,Malt
648,Bladnoch Vintage 1992-2007 (Signatory),8.28,4,5,SingleMalt-like,G,Scotland,Malt
649,Cardhu Amber Rock,8.28,4,3,SingleMalt-like,H,Scotland,Malt
650,Glen Grant 10yo,8.28,9,2,SingleMalt-like,H,Scotland,Malt
651,Highland Park Harald,8.28,12,4,SingleMalt-like,G,Scotland,Malt
652,Mannochmore 12yo (F&F),8.28,4,3,SingleMalt-like,G,Scotland,Malt
653,Tullibardine Vintage 1993,8.27,10,3,SingleMalt-like,G,Scotland,Malt
654,Amrut Indian Single Malt,8.26,17,3,SingleMalt-like,G,India,Malt
655,Highland Park Svein,8.26,11,3,SingleMalt-like,G,Scotland,Malt
656,Nikka Taketsuru NAS,8.26,6,4,SingleMalt-like,G,Japan,Malt
657,Bladnoch 1993-2009 (G&M),8.25,5,5,SingleMalt-like,G,Scotland,Malt
658,Glengoyne 10yo,8.25,13,3,SingleMalt-like,G,Scotland,Malt
659,St George's Chapter 6 (unpeated),8.25,10,3,SingleMalt-like,G,England,Malt
660,Glenkinchie 12yo,8.24,17,3,SingleMalt-like,G,Scotland,Malt
661,Macallan 1824 Gold,8.24,16,3,SingleMalt-like,G,Scotland,Malt
662,White Oak Akashi 5yo,8.24,8,5,SingleMalt-like,G,Japan,Malt
663,Glen Breton Ice 10yo,8.23,8,4,SingleMalt-like,G,Canada,Malt
664,Auchentoshan Virgin Oak,8.21,7,4,SingleMalt-like,H,Scotland,Malt
665,Glendalough 7yo Single Malt,8.21,6,3,SingleMalt-like,G,Ireland,Malt
666,Stronachie 12yo,8.21,9,3,SingleMalt-like,H,Scotland,Malt
667,Ichiro's Malt Mizunara Wood Reserve (MWR),8.2,10,5,SingleMalt-like,H,Japan,Malt
668,Teerenpeli 10yo,8.2,5,5,SingleMalt-like,H,Finland,Malt
669,Tullibardine Sovereign,8.2,10,3,SingleMalt-like,G,Scotland,Malt
670,Bushmills 10yo Single Malt,8.19,19,3,SingleMalt-like,G,Ireland,Malt
671,Glenlossie 10yo (F&F),8.19,9,3,SingleMalt-like,G,Scotland,Malt
672,Hibiki Harmony Master's Select,8.19,5,5,SingleMalt-like,G,Japan,Blend
673,Nikka Gold & Gold,8.19,7,3,SingleMalt-like,G,Japan,Malt
674,The Quiet Man 8yo Single Malt,8.18,5,3,SingleMalt-like,H,Ireland,Malt
675,Tyrconnell Single Malt Irish Whiskey,8.17,15,2,SingleMalt-like,H,Ireland,Malt
676,Deanston Virgin Oak,8.16,15,2,SingleMalt-like,H,Scotland,Malt
677,Glenrothes Bourbon Cask Reserve,8.15,3,3,SingleMalt-like,G,Scotland,Malt
678,Tomatin Legacy,8.15,10,2,SingleMalt-like,G,Scotland,Malt
679,Tormore 14yo,8.15,5,3,SingleMalt-like,G,Scotland,Malt
680,Mackmyra Midnattssol,8.13,5,4,SingleMalt-like,H,Sweden,Malt
681,Glenturret 10yo,8.11,12,2,SingleMalt-like,G,Scotland,Malt
682,Glenfiddich 12yo,8.1,26,3,SingleMalt-like,G,Scotland,Malt
683,Knappogue Castle Vintage,8.1,5,3,SingleMalt-like,H,Ireland,Malt
684,Lohin McKinnon Single Malt,8.09,4,3,SingleMalt-like,H,Canada,Malt
685,Speyburn 10yo,8.09,20,2,SingleMalt-like,H,Scotland,Malt
686,Glen Breton 14yo,8.08,6,4,SingleMalt-like,G,Canada,Malt
687,Cardhu 12yo,8.07,21,3,SingleMalt-like,H,Scotland,Malt
688,Glen Spey 12yo (F&F),8.06,5,3,SingleMalt-like,H,Scotland,Malt
689,Tullibardine Aged Oak Edition,8.06,9,3,SingleMalt-like,G,Scotland,Malt
690,Glen Breton 10yo Rare,8.05,14,4,SingleMalt-like,G,Canada,Malt
691,Arran Malt Lochranza Reserve,8.04,4,3,SingleMalt-like,G,Scotland,Malt
692,Glen Moray 12yo,8.04,13,2,SingleMalt-like,G,Scotland,Malt
693,Tomatin Cu Bocan,8.03,12,4,SingleMalt-like,H,Scotland,Malt
694,Kilbeggan Irish Reserve Malt Whiskey,7.98,6,2,SingleMalt-like,G,Ireland,Malt
695,Glen Moray Classic,7.96,5,0,SingleMalt-like,G,Scotland,Malt
696,Auchentoshan Classic,7.95,8,2,SingleMalt-like,H,Scotland,Malt
697,Bladnoch 16yo (Signatory),7.95,4,5,SingleMalt-like,G,Scotland,Malt
698,White Oak Akashi Single Malt (NAS),7.94,7,4,SingleMalt-like,G,Japan,Malt
699,Knockando 12yo (All Vintages),7.93,12,2,SingleMalt-like,G,Scotland,Malt
700,Pig's Nose 5yo Blended Malt,7.93,3,2,SingleMalt-like,H,Scotland,Malt
701,Tormore 12yo,7.92,9,3,SingleMalt-like,G,Scotland,Malt
702,Glen Grant The Major's Reserve,7.9,11,2,SingleMalt-like,H,Scotland,Malt
703,Speyside 12yo,7.87,10,2,SingleMalt-like,H,Scotland,Malt
704,Tomintoul 10yo,7.84,16,3,SingleMalt-like,G,Scotland,Malt
705,Auchentoshan 10yo,7.78,10,3,SingleMalt-like,H,Scotland,Malt
706,Auchentoshan American Oak,7.78,8,2,SingleMalt-like,H,Scotland,Malt
707,BenRiach Heart of Speyside,7.74,7,3,SingleMalt-like,H,Scotland,Malt
708,Tamnavulin 12yo,7.71,4,2,SingleMalt-like,H,Scotland,Malt
709,Loch Lomond,7.7,12,0,SingleMalt-like,H,Scotland,Malt
710,McClelland's Highland Single Malt,7.11,7,2,SingleMalt-like,G,Scotland,Malt
711,McClelland's Lowland Single Malt,7.02,4,2,SingleMalt-like,H,Scotland,Malt
712,Talisker 35yo,9.32,3,6,SingleMalt-like,I,Scotland,Malt
713,Caol Ila 30yo,9.31,12,6,SingleMalt-like,I,Scotland,Malt
714,Talisker 30yo,9.19,13,6,SingleMalt-like,I,Scotland,Malt
715,Talisker 18yo,9.17,18,5,SingleMalt-like,I,Scotland,Malt
716,Ledaig 42yo,9.12,3,6,SingleMalt-like,I,Scotland,Malt
717,Springbank 16yo Local Barley,9.09,10,5,SingleMalt-like,I,Scotland,Malt
718,Compass Box Flaming Heart 2008 2nd Edition,9.07,4,5,SingleMalt-like,I,Scotland,Malt
719,Highland Park Sigurd,9.04,7,5,SingleMalt-like,I,Scotland,Malt
720,Springbank 11yo Local Barley,9.04,9,5,SingleMalt-like,I,Scotland,Malt
721,Compass Box Flaming Heart 2015 5th Edition - 15th Anniversary,9.03,17,5,SingleMalt-like,I,Scotland,Malt
722,Glen Garioch 1994,9.03,7,4,SingleMalt-like,I,Scotland,Malt
723,Oban 21yo,9.02,5,6,SingleMalt-like,I,Scotland,Malt
724,Compass Box Flaming Heart (all editions),8.99,21,5,SingleMalt-like,I,Scotland,Malt
725,Talisker 25yo,8.99,17,6,SingleMalt-like,I,Scotland,Malt
726,Bruichladdich Port Charlotte PC10 Tro Na Linntean,8.96,10,5,SingleMalt-like,I,Scotland,Malt
727,Springbank 18yo,8.96,20,5,SingleMalt-like,I,Scotland,Malt
728,Glen Garioch 1991,8.95,3,4,SingleMalt-like,I,Scotland,Malt
729,Glen Garioch 1995,8.95,11,4,SingleMalt-like,I,Scotland,Malt
730,Nikka Yoichi 15yo,8.95,16,5,SingleMalt-like,I,Japan,Malt
731,Tomatin Cu Bocan 1989 Limited Edition,8.95,4,6,SingleMalt-like,I,Scotland,Malt
732,Compass Box Flaming Heart 2010 3rd Edition - 10th Anniversary,8.94,8,5,SingleMalt-like,I,Scotland,Malt
733,Compass Box The Lost Blend,8.94,13,5,SingleMalt-like,I,Scotland,Malt
734,Kilchoman Bourbon Single Cask,8.94,14,4,SingleMalt-like,I,Scotland,Malt
735,Ledaig 19yo Marsala Finish,8.94,4,5,SingleMalt-like,I,Scotland,Malt
736,Talisker 57 North,8.92,19,4,SingleMalt-like,I,Scotland,Malt
737,Talisker Distiller's Edition (all editions),8.92,24,4,SingleMalt-like,I,Scotland,Malt
738,BenRiach 21yo Authenticus Peated,8.91,14,5,SingleMalt-like,I,Scotland,Malt
739,Bruichladdich Port Charlotte PC11 Eorna Na H-Alba,8.91,6,5,SingleMalt-like,I,Scotland,Malt
740,"Elements of Islay ""Peat""",8.91,5,3,SingleMalt-like,I,Scotland,Malt
741,Compass Box Flaming Heart 2012 4th Edition,8.9,15,5,SingleMalt-like,I,Scotland,Malt
742,Wemyss Malts The Rockpool,8.89,3,3,SingleMalt-like,I,Scotland,Malt
743,Bladnoch 9yo Lightly Peated,8.88,4,5,SingleMalt-like,I,Scotland,Malt
744,Bowmore Mizunara Cask Finish,8.87,3,6,SingleMalt-like,I,Scotland,Malt
745,Talisker 10yo,8.87,25,4,SingleMalt-like,I,Scotland,Malt
746,Caol Ila 25yo,8.86,10,5,SingleMalt-like,I,Scotland,Malt
747,Bruichladdich Port Charlotte PC12 Oileanach Furachail,8.81,10,5,SingleMalt-like,I,Scotland,Malt
748,Bruichladdich Port Charlotte PC10 (Second Edition),8.79,4,4,SingleMalt-like,I,Scotland,Malt
749,BenRiach 25yo Authenticus Peated,8.78,9,5,SingleMalt-like,I,Scotland,Malt
750,Bruichladdich Port Charlotte 10yo Heavily Peated (First Edition),8.78,6,4,SingleMalt-like,I,Scotland,Malt
751,Hakushu Single Malt Heavily Peated,8.78,12,6,SingleMalt-like,I,Japan,Malt
752,Nikka Pure Malt Black,8.78,14,3,SingleMalt-like,I,Japan,Malt
753,Paul John Peated Select Cask,8.78,9,4,SingleMalt-like,I,India,Malt
754,Springbank 12yo Green,8.78,8,4,SingleMalt-like,I,Scotland,Malt
755,Bowmore 10yo Tempest,8.77,21,4,SingleMalt-like,I,Scotland,Malt
756,Bruichladdich Infinity Third Edition,8.77,5,5,SingleMalt-like,I,Scotland,Malt
757,Glenlivet Nadurra Peated Cask Finish,8.77,4,4,SingleMalt-like,I,Scotland,Malt
758,Highland Park 12yo (reviews pre-2014),8.77,20,3,SingleMalt-like,I,Scotland,Malt
759,Spirit of Hven Tychoäó»s Star,8.77,5,4,SingleMalt-like,I,Sweden,Malt
760,Arran Malt Machrie Moor Cask Strength,8.76,4,4,SingleMalt-like,I,Scotland,Malt
761,Big Peat (Douglas Laing),8.75,16,4,SingleMalt-like,I,Scotland,Malt
762,Caol Ila 18yo,8.75,18,5,SingleMalt-like,I,Scotland,Malt
763,Kavalan Distillery Reserve Peaty Cask,8.75,4,6,SingleMalt-like,I,Taiwan,Malt
764,Nikka Yoichi 12yo,8.75,9,5,SingleMalt-like,I,Japan,Malt
765,Paul John Bold,8.75,6,3,SingleMalt-like,I,India,Malt
766,Bruichladdich Port Charlotte Scottish Barley Heavily Peated,8.74,17,4,SingleMalt-like,I,Scotland,Malt
767,Caol Ila 12yo,8.74,22,4,SingleMalt-like,I,Scotland,Malt
768,Balvenie 14yo Peat Week,8.72,9,5,SingleMalt-like,I,Scotland,Malt
769,Bruichladdich Port Charlotte An Turas Mor,8.72,11,4,SingleMalt-like,I,Scotland,Malt
770,Highland Park 15yo Freya,8.72,13,6,SingleMalt-like,I,Scotland,Malt
771,Highland Park 17yo Ice,8.72,9,6,SingleMalt-like,I,Scotland,Malt
772,Kilchoman Coull Point,8.72,7,5,SingleMalt-like,I,Scotland,Malt
773,Oban 18yo,8.72,14,5,SingleMalt-like,I,Scotland,Malt
774,Compass Box Lady Luck,8.71,6,5,SingleMalt-like,I,Scotland,Malt
775,Kilchoman Sauternes Cask Matured,8.71,3,4,SingleMalt-like,I,Scotland,Malt
776,Mackmyra Svensk Rí_k,8.71,4,4,SingleMalt-like,I,Sweden,Malt
777,Nikka Pure Malt White,8.7,13,3,SingleMalt-like,I,Japan,Malt
778,Springbank 10yo,8.7,21,4,SingleMalt-like,I,Scotland,Malt
779,Talisker Dark Storm,8.7,11,3,SingleMalt-like,I,Scotland,Malt
780,Kilchoman Sanaig,8.69,16,4,SingleMalt-like,I,Scotland,Malt
781,Nikka Miyagikyo 15yo,8.69,12,5,SingleMalt-like,I,Japan,Malt
782,Benromach 10yo,8.68,23,3,SingleMalt-like,I,Scotland,Malt
783,Bowmore Vault Edition First Release,8.66,9,5,SingleMalt-like,I,Scotland,Malt
784,Nikka Yoichi 10yo,8.66,18,4,SingleMalt-like,I,Japan,Malt
785,Westland Peat Week,8.66,3,4,SingleMalt-like,I,USA,Malt
786,Highland Park 12yo (all reviews),8.64,26,3,SingleMalt-like,I,Scotland,Malt
787,Bowmore 15yo Mariner,8.63,7,5,SingleMalt-like,I,Scotland,Malt
788,Highland Park 12yo Viking Honour (post-2017),8.6,4,3,SingleMalt-like,I,Scotland,Malt
789,Longrow 7yo Gaja Barolo Finish,8.6,7,4,SingleMalt-like,I,Scotland,Malt
790,Mars Kogamatake The Revival 2011,8.6,5,5,SingleMalt-like,I,Japan,Malt
791,BenRiach 10yo Curiositas,8.59,20,3,SingleMalt-like,I,Scotland,Malt
792,BenRiach Peated Quarter Casks,8.59,4,4,SingleMalt-like,I,Scotland,Malt
793,Bowmore 18yo,8.59,19,4,SingleMalt-like,I,Scotland,Malt
794,Nikka Yoichi NAS,8.59,11,4,SingleMalt-like,I,Japan,Malt
795,Talisker Storm,8.59,19,4,SingleMalt-like,I,Scotland,Malt
796,Westland Peated,8.59,9,4,SingleMalt-like,I,USA,Malt
797,Bruichladdich Islay Barley (all vintages),8.57,13,4,SingleMalt-like,I,Scotland,Malt
798,Compass Box Eleuthera,8.57,13,4,SingleMalt-like,I,Scotland,Malt
799,Nikka Miyagikyo 12yo,8.56,8,4,SingleMalt-like,I,Japan,Malt
800,Paul John Edited,8.56,9,3,SingleMalt-like,I,India,Malt
801,Spirit of Hven Seven Stars No. 2 Merak,8.55,4,5,SingleMalt-like,I,Sweden,Malt
802,GlenDronach Peated,8.54,11,3,SingleMalt-like,I,Scotland,Malt
803,Fettercairn Fior,8.53,4,3,SingleMalt-like,I,Scotland,Malt
804,Glen Garioch 1997,8.53,6,4,SingleMalt-like,I,Scotland,Malt
805,Ardmore Traditional Cask,8.52,21,3,SingleMalt-like,I,Scotland,Malt
806,Highland Park 10yo,8.52,15,3,SingleMalt-like,I,Scotland,Malt
807,Oban 14yo,8.51,21,4,SingleMalt-like,I,Scotland,Malt
808,Spirit of Hven Seven Stars No. 3 Phecda,8.51,3,5,SingleMalt-like,I,Sweden,Malt
809,Box Dalvve,8.5,8,4,SingleMalt-like,I,Sweden,Malt
810,Bowmore No.1,8.47,5,3,SingleMalt-like,I,Scotland,Malt
811,Glenfiddich Vintage Cask,8.47,5,4,SingleMalt-like,I,Scotland,Malt
812,Nikka Miyagikyo 10yo,8.47,7,4,SingleMalt-like,I,Japan,Malt
813,Bowmore 17yo White Sands,8.46,6,4,SingleMalt-like,I,Scotland,Malt
814,Benromach Sassicaia,8.45,7,4,SingleMalt-like,I,Scotland,Malt
815,Highland Park 12yo (reviews 2014-2017),8.41,15,3,SingleMalt-like,I,Scotland,Malt
816,Bowmore 12yo,8.4,20,3,SingleMalt-like,I,Scotland,Malt
817,Bowmore 17yo,8.4,8,5,SingleMalt-like,I,Scotland,Malt
818,Ledaig 10yo,8.4,22,3,SingleMalt-like,I,Scotland,Malt
819,Oban Little Bay,8.4,11,4,SingleMalt-like,I,Scotland,Malt
820,Wemyss Malts Peat Chimney,8.4,14,3,SingleMalt-like,I,Scotland,Malt
821,Bowmore Gold Reef,8.34,10,2,SingleMalt-like,I,Scotland,Malt
822,Glen Scotia 12yo,8.3,9,4,SingleMalt-like,I,Scotland,Malt
823,Penderyn Peated,8.3,9,4,SingleMalt-like,I,Wales,Malt
824,BenRiach Birnie Moss,8.28,10,3,SingleMalt-like,I,Scotland,Malt
825,Spirit of Hven Seven Stars No. 1 Dubhe,8.28,3,5,SingleMalt-like,I,Sweden,Malt
826,Bowmore Small Batch,8.27,12,3,SingleMalt-like,I,Scotland,Malt
827,Highland Park Einar,8.27,7,3,SingleMalt-like,I,Scotland,Malt
828,Jura Superstition,8.27,22,3,SingleMalt-like,I,Scotland,Malt
829,Springbank CV,8.27,8,3,SingleMalt-like,I,Scotland,Malt
830,Old Ballantruan Peated (Toumintoul),8.26,9,4,SingleMalt-like,I,Scotland,Malt
831,Bruichladdich 8yo Laddie Eight,8.23,4,4,SingleMalt-like,I,Scotland,Malt
832,Connemara Peated Single Malt,8.22,17,3,SingleMalt-like,I,Ireland,Malt
833,St George's Chapter 9 (peated),8.22,5,3,SingleMalt-like,I,England,Malt
834,Glenrothes Peated Cask Reserve,8.12,3,3,SingleMalt-like,I,Scotland,Malt
835,Jura 10yo Origin,8.06,17,3,SingleMalt-like,I,Scotland,Malt
836,Arran Malt Machrie Moor Peated (all editions),7.93,13,4,SingleMalt-like,I,Scotland,Malt
837,Glenfiddich 12yo Caoran Reserve,7.84,8,5,SingleMalt-like,I,Scotland,Malt
838,Bowmore Legend,7.69,10,2,SingleMalt-like,I,Scotland,Malt
839,Longrow 10yo Tokaji Finish,7.46,6,5,SingleMalt-like,I,Scotland,Malt
840,Brora 35yo,9.42,11,6,SingleMalt-like,J,Scotland,Malt
841,Brora 30yo,9.31,18,6,SingleMalt-like,J,Scotland,Malt
842,Laphroaig 21yo,9.22,10,6,SingleMalt-like,J,Scotland,Malt
843,Ardbeg Uigeadail,9.18,24,4,SingleMalt-like,J,Scotland,Malt
844,Lagavulin 16yo,9.18,28,4,SingleMalt-like,J,Scotland,Malt
845,Laphroaig Cairdeas 2015,9.17,10,4,SingleMalt-like,J,Scotland,Malt
846,Amrut Peated Single Malt Cask Strength,9.15,11,4,SingleMalt-like,J,India,Malt
847,Ardbeg 21yo,9.13,11,6,SingleMalt-like,J,Scotland,Malt
848,Bruichladdich Octomore 8.3,9.13,4,5,SingleMalt-like,J,Scotland,Malt
849,Lagavulin 12yo Cask Strength,9.12,23,5,SingleMalt-like,J,Scotland,Malt
850,Bruichladdich Octomore 6.2,9.08,10,5,SingleMalt-like,J,Scotland,Malt
851,Ardbeg Supernova 2014,9.07,15,6,SingleMalt-like,J,Scotland,Malt
852,Ardbeg Corryvreckan,9.05,23,4,SingleMalt-like,J,Scotland,Malt
853,Ardbeg 17yo,9.04,7,6,SingleMalt-like,J,Scotland,Malt
854,Lagavulin Distiller's Edition (All Vintages),9.04,23,5,SingleMalt-like,J,Scotland,Malt
855,Bruichladdich Octomore 7.3,9.03,10,5,SingleMalt-like,J,Scotland,Malt
856,Longrow 18yo,9.03,12,5,SingleMalt-like,J,Scotland,Malt
857,Ardbeg Alligator,9.02,15,6,SingleMalt-like,J,Scotland,Malt
858,Ardbeg Ardbog,9.02,20,5,SingleMalt-like,J,Scotland,Malt
859,Bruichladdich Octomore 7.1,9.02,12,5,SingleMalt-like,J,Scotland,Malt
860,Compass Box Peat Monster 2014 - 10th Anniversary,9.02,11,3,SingleMalt-like,J,Scotland,Malt
861,Kilchoman 2008 Vintage,9.01,5,4,SingleMalt-like,J,Scotland,Malt
862,Ardbeg Supernova 2015,9,7,6,SingleMalt-like,J,Scotland,Malt
863,Laphroaig 18yo,9,21,5,SingleMalt-like,J,Scotland,Malt
864,AnCnoc Cutter,8.98,9,4,SingleMalt-like,J,Scotland,Malt
865,Bruichladdich Octomore 10 (Second Edition),8.98,11,5,SingleMalt-like,J,Scotland,Malt
866,Kilchoman Original Cask Strength,8.96,8,4,SingleMalt-like,J,Scotland,Malt
867,Kilchoman 2007 Vintage,8.95,9,4,SingleMalt-like,J,Scotland,Malt
868,Laphroaig 10yo Cask Strength (all batches),8.95,21,4,SingleMalt-like,J,Scotland,Malt
869,Laphroaig Cairdeas 2014 Amontillado,8.95,11,4,SingleMalt-like,J,Scotland,Malt
870,Bruichladdich Octomore 8.1,8.94,3,5,SingleMalt-like,J,Scotland,Malt
871,Smogen Single Cask 4yo 7/2011,8.94,4,5,SingleMalt-like,J,Sweden,Malt
872,Box The Festival 2014,8.93,3,5,SingleMalt-like,J,Sweden,Malt
873,Compass Box Peat Monster 2008 Reserve Edition,8.93,3,3,SingleMalt-like,J,Scotland,Malt
874,Ardbeg 10yo,8.91,25,3,SingleMalt-like,J,Scotland,Malt
875,Ardbeg Dark Cove,8.91,18,5,SingleMalt-like,J,Scotland,Malt
876,Ichiro's Malt Chichibu The Peated,8.91,10,6,SingleMalt-like,J,Japan,Malt
877,Amrut 100 Peated,8.9,7,4,SingleMalt-like,J,India,Malt
878,Bruichladdich Octomore 10,8.89,5,6,SingleMalt-like,J,Scotland,Malt
879,Bruichladdich Port Charlotte Islay Barley Heavily Peated,8.89,3,4,SingleMalt-like,J,Scotland,Malt
880,AnCnoc Rutter,8.88,8,4,SingleMalt-like,J,Scotland,Malt
881,Ardbeg An Oa,8.88,11,4,SingleMalt-like,J,Scotland,Malt
882,Lagavulin 8yo,8.88,20,4,SingleMalt-like,J,Scotland,Malt
883,Compass Box Monster 2004,8.87,3,3,SingleMalt-like,J,Scotland,Malt
884,Compass Box Peat Monster 2015 Cask Strength,8.87,5,4,SingleMalt-like,J,Scotland,Malt
885,Brora 21yo,8.86,4,6,SingleMalt-like,J,Scotland,Malt
886,Laphroaig An Cuan Mor,8.85,14,4,SingleMalt-like,J,Scotland,Malt
887,Laphroaig Cairdeas 2016 Madeira,8.85,13,4,SingleMalt-like,J,Scotland,Malt
888,Smogen Single Cask (all editions),8.85,4,5,SingleMalt-like,J,Sweden,Malt
889,Ardbeg Auriverdes,8.84,19,5,SingleMalt-like,J,Scotland,Malt
890,Bruichladdich Octomore 7.2,8.84,10,5,SingleMalt-like,J,Scotland,Malt
891,Laphroaig 10yo,8.84,23,3,SingleMalt-like,J,Scotland,Malt
892,Wemyss Malts Kiln Embers,8.84,4,3,SingleMalt-like,J,Scotland,Malt
893,Ardbeg Perpetuum,8.83,16,5,SingleMalt-like,J,Scotland,Malt
894,Big Peat Christmas Edition (2012-2016),8.82,12,4,SingleMalt-like,J,Scotland,Malt
895,Bunnahabhain Ceí_banach,8.82,12,4,SingleMalt-like,J,Scotland,Malt
896,Ardbeg Kelpie,8.81,9,5,SingleMalt-like,J,Scotland,Malt
897,Laphroaig 15yo (200th Anniversary),8.81,17,4,SingleMalt-like,J,Scotland,Malt
898,Longrow CV,8.81,17,3,SingleMalt-like,J,Scotland,Malt
899,BenRiach 18yo Dunder,8.79,5,5,SingleMalt-like,J,Scotland,Malt
900,Kilchoman Machir Bay (all vintages),8.78,22,4,SingleMalt-like,J,Scotland,Malt
901,Longrow Peated,8.78,16,3,SingleMalt-like,J,Scotland,Malt
902,Amrut Portpipe Peated Single Cask (all casks),8.77,11,4,SingleMalt-like,J,India,Malt
903,Bruichladdich Octomore 6.1,8.77,15,5,SingleMalt-like,J,Scotland,Malt
904,Bruichladdich Octomore 6.3,8.77,10,5,SingleMalt-like,J,Scotland,Malt
905,Compass Box Peat Monster (all editions),8.76,21,3,SingleMalt-like,J,Scotland,Malt
906,Connemara Turf Mor,8.75,11,4,SingleMalt-like,J,Ireland,Malt
907,Compass Box Peat Monster 2015,8.74,3,3,SingleMalt-like,J,Scotland,Malt
908,Kilchoman 100% Islay (all editions),8.73,18,4,SingleMalt-like,J,Scotland,Malt
909,Kilchoman Spring 2011 Release,8.73,8,4,SingleMalt-like,J,Scotland,Malt
910,Ileach Peated Islay Cask Strength,8.72,12,3,SingleMalt-like,J,Scotland,Malt
911,Compass Box Peat Monster 2012,8.71,10,3,SingleMalt-like,J,Scotland,Malt
912,Laphroaig Triple Wood,8.71,20,4,SingleMalt-like,J,Scotland,Malt
913,Amrut Peated Single Malt,8.7,12,4,SingleMalt-like,J,India,Malt
914,Compass Box Peat Monster 2005,8.7,4,3,SingleMalt-like,J,Scotland,Malt
915,Caol Ila Distiller's Edition (all editions),8.69,16,4,SingleMalt-like,J,Scotland,Malt
916,Laphroaig Cairdeas 2017,8.68,6,4,SingleMalt-like,J,Scotland,Malt
917,Smogen Single Cask 4yo 20/2011,8.68,3,5,SingleMalt-like,J,Sweden,Malt
918,Jura Prophecy,8.67,17,4,SingleMalt-like,J,Scotland,Malt
919,Laphroaig Lore,8.62,17,5,SingleMalt-like,J,Scotland,Malt
920,AnCnoc Flaughter,8.58,11,4,SingleMalt-like,J,Scotland,Malt
921,Bruichladdich Octomore 7.4,8.58,9,5,SingleMalt-like,J,Scotland,Malt
922,Bunnahabhain Toiteach,8.58,16,4,SingleMalt-like,J,Scotland,Malt
923,BenRiach 17yo Septendecim Peated,8.55,18,4,SingleMalt-like,J,Scotland,Malt
924,Kilchoman Winter 2010 Release,8.53,4,4,SingleMalt-like,J,Scotland,Malt
925,Bruichladdich Port Charlotte The Peat Project,8.5,7,4,SingleMalt-like,J,Scotland,Malt
926,Compass Box Peat Monster 2010,8.47,3,3,SingleMalt-like,J,Scotland,Malt
927,Finlaggan Old Reserve,8.46,15,2,SingleMalt-like,J,Scotland,Malt
928,Benromach Peat Smoke,8.43,15,4,SingleMalt-like,J,Scotland,Malt
929,Ileach Peated Islay,8.38,8,2,SingleMalt-like,J,Scotland,Malt
930,Laphroaig Quarter Cask,8.31,24,4,SingleMalt-like,J,Scotland,Malt
931,Bunnahabhain Cruach Mhona,8.3,6,3,SingleMalt-like,J,Scotland,Malt
932,McClelland's Islay Single Malt,7.95,8,2,SingleMalt-like,J,Scotland,Malt
933,Tomintoul Peaty Tang,7.89,11,2,SingleMalt-like,J,Scotland,Malt
934,Laphroaig QA Cask,7.27,10,3,SingleMalt-like,J,Scotland,Malt
935,Santis Edition Dreifaltigkeit / Cask Strength Peated,7.15,11,4,SingleMalt-like,J,Switzerland,Malt
936,Compass Box The General,9.18,10,6,Scotch-like,N,Scotland,Blend
937,Compass Box Hedonism Quindecimus,8.93,8,5,Scotch-like,N,Scotland,Blend
938,Chivas Regal Ultis,8.89,7,5,Scotch-like,N,Scotland,Blend
