index,whisky,score,reviews,cost,class,cluster,country,type
135,Arran Malt Sassicaia Wine Cask Finish,8.76,5,5,SingleMalt-like,C,Scotland,Malt
136,Glenfarclas 17yo,8.76,19,5,SingleMalt-like,B,Scotland,Malt
137,Macallan 1824 Ruby,8.76,13,5,SingleMalt-like,A,Scotland,Malt
138,Aberlour A'Bunadh (Batch 50),8.75,7,4,SingleMalt-like,A,Scotland,Malt
139,Benromach 15yo,8.75,12,4,SingleMalt-like,C,Scotland,Malt
140,Scallywag Cask Strength (all batches),8.75,5,4,SingleMalt-like,C,Switzerland,Malt
141,GlenDronach 18yo Allardice,8.74,18,5,SingleMalt-like,A,Scotland,Malt
142,GlenDronach 18yo Tawny Port Finish,8.74,6,5,SingleMalt-like,A,Scotland,Malt
143,Glenfarclas 105,8.74,24,4,SingleMalt-like,C,Scotland,Malt
144,Glenfarclas 25yo,8.74,14,5,SingleMalt-like,C,Scotland,Malt
145,Glenmorangie Nectar d'Or,8.74,22,4,SingleMalt-like,A,Scotland,Malt
146,Longmorn 16yo,8.74,17,4,SingleMalt-like,C,Scotland,Malt
147,Redbreast Lustau Edition,8.74,13,4,SingleMalt-like,C,Ireland,Malt
148,AnCnoc 22yo,8.73,9,5,SingleMalt-like,C,Scotland,Malt
149,Glengoyne Cask Strength (batch 1),8.73,4,4,SingleMalt-like,B,Scotland,Malt
150,Glenrothes Minister's Reserve,8.73,4,5,SingleMalt-like,A,Scotland,Malt
151,Highland Park 15yo Fire,8.73,10,6,SingleMalt-like,C,Scotland,Malt
152,Springbank 13yo Green,8.73,6,4,SingleMalt-like,C,Scotland,Malt
153,Teerenpeli Distilleräó»s Choice KARHI,8.73,3,4,SingleMalt-like,C,Finland,Malt
154,GlenDronach 21yo Parliament,8.72,19,5,SingleMalt-like,A,Scotland,Malt
155,Macallan 1824 Sienna,8.71,18,5,SingleMalt-like,C,Scotland,Malt
156,Oban Distillers Edition (all vintages),8.71,15,4,SingleMalt-like,C,Scotland,Malt
157,Sheep Dip 1999 Amoroso Blended Malt,8.71,3,3,SingleMalt-like,C,Scotland,Malt
158,Smogen Sherry Project 1:1,8.71,3,4,SingleMalt-like,C,Sweden,Malt
159,Springbank 15yo,8.71,19,5,SingleMalt-like,C,Scotland,Malt
160,Amrut Bengal Tiger PX Single Cask (Canada),8.7,4,4,SingleMalt-like,C,India,Malt
161,Macallan 1824 Rare Cask,8.7,10,6,SingleMalt-like,A,Scotland,Malt
162,Ohishi Sherry Cask,8.7,4,4,SingleMalt-like,A,Scotland,Malt
163,Highland Park 15yo,8.69,13,4,SingleMalt-like,C,Scotland,Malt
164,Knappogue Castle 16yo Twin Wood,8.69,6,4,SingleMalt-like,C,Ireland,Malt
165,Mortlach 15yo (Gordon & MacPhail),8.69,13,4,SingleMalt-like,C,Scotland,Malt
166,Aberlour 16yo Double Cask Matured,8.68,13,4,SingleMalt-like,A,Scotland,Malt
167,Glencadam 14yo Oloroso Sherry Cask Finish,8.68,5,4,SingleMalt-like,C,Scotland,Malt
168,GlenDronach 18yo Marsala Finish,8.68,4,5,SingleMalt-like,B,Scotland,Malt
169,Glengoyne Cask Strength (batch 2),8.68,3,4,SingleMalt-like,B,Scotland,Malt
170,Glenmorangie A Midwinter Nightäó»s Dram,8.68,5,5,SingleMalt-like,A,Scotland,Malt
171,Glenmorangie Taghta,8.68,10,5,SingleMalt-like,C,Scotland,Malt
172,Mortlach 16yo (F&F),8.68,9,5,SingleMalt-like,C,Scotland,Malt
173,Tomatin 18yo,8.68,11,4,SingleMalt-like,C,Scotland,Malt
174,Aberlour A'Bunadh (Batch 38),8.67,3,4,SingleMalt-like,A,Scotland,Malt
175,Arran Malt Madeira Wine Cask,8.67,12,4,SingleMalt-like,C,Scotland,Malt
176,BenRiach 12yo Matured in Sherry Wood,8.67,14,3,SingleMalt-like,B,Scotland,Malt
177,Sullivans Cove French Oak,8.67,8,6,SingleMalt-like,C,Tasmania,Malt
178,Hazelburn 12yo (Springbank),8.66,18,4,SingleMalt-like,C,Scotland,Malt
179,Karuizawa Asama Vintages 1999-2000,8.66,9,6,SingleMalt-like,C,Japan,Malt
180,Kilchoman Sherry Single Cask,8.66,14,5,SingleMalt-like,C,Scotland,Malt
181,Redbreast Mano a Líçmh,8.66,4,3,SingleMalt-like,C,Ireland,Malt
182,Balvenie 17yo Doublewood,8.65,15,5,SingleMalt-like,C,Scotland,Malt
183,BenRiach 21yo Tawny Port Finish,8.65,3,5,SingleMalt-like,C,Scotland,Malt
184,Swiss Highland Classic Single Malt,8.65,4,5,SingleMalt-like,C,Switzerland,Malt
185,Tamdhu Batch Strength (both batches),8.65,10,4,SingleMalt-like,A,Scotland,Malt
186,Highland Park Magnus (2017),8.64,8,3,SingleMalt-like,C,Scotland,Malt
187,Ledaig 18yo,8.64,9,5,SingleMalt-like,C,Scotland,Malt
188,Macallan Reflexion,8.64,3,6,SingleMalt-like,A,Scotland,Malt
189,Highland Park Valkyrie,8.63,11,4,SingleMalt-like,C,Scotland,Malt
190,Macallan 25yo Fine Oak,8.63,3,6,SingleMalt-like,C,Scotland,Malt
191,AnCnoc 2000,8.62,4,4,SingleMalt-like,C,Scotland,Malt
192,Glenfarclas 15yo,8.62,18,4,SingleMalt-like,B,Scotland,Malt
193,Glenfarclas 21yo,8.62,16,5,SingleMalt-like,B,Scotland,Malt
194,Glenfiddich 21yo Gran Reserva,8.62,15,5,SingleMalt-like,C,Scotland,Malt
195,Glengoyne Cask Strength (all batches),8.62,13,4,SingleMalt-like,B,Scotland,Malt
196,Kavalan Sherry Oak,8.62,6,5,SingleMalt-like,B,Taiwan,Malt
197,Aberlour A'Bunadh (Batch 57),8.61,5,4,SingleMalt-like,A,Scotland,Malt
198,Bowmore 15yo Darkest,8.61,23,4,SingleMalt-like,C,Scotland,Malt
199,Glengoyne Cask Strength (batch 4),8.61,5,4,SingleMalt-like,B,Scotland,Malt
200,Tomatin 14yo Portwood,8.61,10,4,SingleMalt-like,C,Scotland,Malt
201,Ardbeg Galileo,8.6,17,6,SingleMalt-like,C,Scotland,Malt
202,Balvenie 16yo Triple Cask,8.6,9,4,SingleMalt-like,A,Scotland,Malt
203,GlenDronach 12yo Original,8.59,22,3,SingleMalt-like,A,Scotland,Malt
204,Glenfarclas 12yo,8.59,21,3,SingleMalt-like,C,Scotland,Malt
205,Glenfiddich 15yo Solera,8.59,26,4,SingleMalt-like,A,Scotland,Malt
206,Spirit of Hven Sankt Claus,8.59,3,5,SingleMalt-like,C,Sweden,Malt
207,Aberfeldy 18yo,8.58,8,4,SingleMalt-like,C,Scotland,Malt
208,Macallan 12yo Sherry Oak,8.58,23,4,SingleMalt-like,A,Scotland,Malt
209,Santis Alpstein (all editions),8.58,3,5,SingleMalt-like,C,Switzerland,Malt
210,Tomatin Oloroso Sherry 1995,8.58,4,5,SingleMalt-like,C,Scotland,Malt
211,Glengoyne 12yo Cask Strength,8.57,10,4,SingleMalt-like,B,Scotland,Malt
212,Glengoyne 18yo,8.57,13,5,SingleMalt-like,C,Scotland,Malt
213,Glenmorangie Quinta Ruban,8.57,25,3,SingleMalt-like,B,Scotland,Malt
214,Tobermory 15yo,8.57,15,5,SingleMalt-like,C,Scotland,Malt
215,Tyrconnell 10yo Port Cask Finish,8.57,11,4,SingleMalt-like,B,Ireland,Malt
216,Westland Winter 2016,8.57,5,4,SingleMalt-like,C,USA,Malt
217,Arran Malt Port Cask Finish,8.56,12,3,SingleMalt-like,C,Scotland,Malt
218,Bowmore 12yo Enigma,8.56,12,2,SingleMalt-like,C,Scotland,Malt
219,Bunnahabhain Moine,8.56,9,3,SingleMalt-like,C,Scotland,Malt
220,Macallan 30yo Fine Oak,8.56,6,6,SingleMalt-like,C,Scotland,Malt
221,Amrut Naarangi,8.55,10,5,SingleMalt-like,C,India,Malt
222,Longrow Red 14yo Burgundy Wood,8.55,5,5,SingleMalt-like,C,Scotland,Malt
223,Teerenpeli Distilleräó»s Choice AURA,8.55,3,5,SingleMalt-like,C,Finland,Malt
224,Arran Malt Sherry Single Cask,8.54,10,4,SingleMalt-like,C,Scotland,Malt
225,Dalmore 18yo,8.54,14,5,SingleMalt-like,C,Scotland,Malt
226,Glengoyne 12yo,8.54,10,3,SingleMalt-like,B,Scotland,Malt
227,Glenmorangie Dornoch,8.54,8,4,SingleMalt-like,C,Scotland,Malt
228,Glenmorangie Duthac,8.54,8,4,SingleMalt-like,C,Scotland,Malt
229,Macallan Whisky Maker's Edition,8.54,14,4,SingleMalt-like,A,Scotland,Malt
230,Mackmyra Midvinter,8.54,3,3,SingleMalt-like,C,Sweden,Malt
231,Talisker Port Ruighe,8.54,19,4,SingleMalt-like,C,Scotland,Malt
232,Balblair 1989,8.53,11,5,SingleMalt-like,C,Scotland,Malt
233,Penderyn Portwood,8.53,6,3,SingleMalt-like,C,Wales,Malt
234,Redbreast All Sherry Single Cask 1999,8.53,5,5,SingleMalt-like,A,Ireland,Malt
235,Glengoyne 15yo,8.52,10,4,SingleMalt-like,B,Scotland,Malt
236,Amrut PX Sherry Single Cask 2701,8.51,3,4,SingleMalt-like,B,India,Malt
237,Dalwhinnie Distillers Edition,8.51,9,4,SingleMalt-like,C,Scotland,Malt
